mode,GUID,macro_f1
season,0DF64849-3F37-457B-936E-44026A2B8592,1.0
season,0E320909-AD6D-4A4C-9173-52AB32FE01F7,1.0
season,0E7298C9-F090-430B-B58D-E9663DE999FF,0.4
season,0ECD98D7-5A9F-45B0-BDDB-249D0C7FE00C,1.0
season,0F05A007-C8E4-4827-99CD-4698815E45F1,1.0
season,0F1D5018-1B7E-4420-8EE5-1EA950FBA8CB,1.0
season,0F301CC0-9B95-4DB6-8E87-3D328F401287,1.0
season,0F313035-87AC-4CF3-B290-A334B9A166B8,1.0
season,0F3768BC-706B-47E2-99C0-F86B56544A64,0.4
season,0F5A924C-D040-4B09-87B6-49B1F0F11CC1,1.0
season,0F70C909-665C-4A33-A824-6AEACF4D5B12,0.42857142857142855
season,0F88F044-8403-4305-A782-B7B361CA20CC,1.0
season,0F93F1BB-2D25-4594-A047-590576443A02,0.0
season,0F9425C4-EB5E-4139-8B03-5CE604DEBFF8,1.0
season,0FA3A879-29D9-4F40-8262-3E24A4313A55,0.0
season,0FB8F437-55B2-42CD-997E-0AEE24A931C0,1.0
season,0FE06278-B8B3-47C2-9435-AD0D2EEE83CE,0.3333333333333333
season,0FF8913D-A2A5-464E-94D4-5C6F29D1082F,1.0
season,10042D37-6080-4D59-AC7E-CEC511847896,0.3333333333333333
season,1023E4B9-F123-4FB9-8ACA-1D5F5AD7F425,0.0
season,1045E925-3AC2-4CD7-8728-4F7343C24908,1.0
season,104A0708-67DA-4C81-B12C-A06D7FBD3553,0.0
season,106E9241-D11A-4221-B815-7FAF9F7F33A4,0.0
season,1071B586-BA0A-4898-94A9-472725FA0967,1.0
season,10CE9B0C-C6FA-4FA4-95FF-78629300FB5C,0.0
season,11115C3A-C974-45A2-8F7A-01991D2927F6,0.3333333333333333
season,111A640C-1E3C-488B-A376-F14181C250C5,1.0
season,11499A01-6AAF-4DD9-ABAA-B6F1AD120DE0,0.3333333333333333
season,11521590-C8A5-4D12-A928-686C545EBDDC,1.0
season,119A47CE-864B-4935-86A0-70BD595233FB,1.0
season,11B0C89B-DD23-4A04-B91F-B14D7934605C,1.0
season,11B6144D-AFA9-4D61-8B74-AFC4820332D2,0.0
season,11C064F3-75B4-4A8B-83D2-395A5E2D648D,1.0
season,11C3D907-0711-4DC8-9281-41319BE11551,0.0
season,11C4C4F1-8E6E-49C8-8248-F1905DFE92B7,1.0
season,11C51989-3DBB-46BA-9985-291340FDB1D1,1.0
season,11EDE2A4-6470-487B-8843-629EF904131B,0.3333333333333333
